종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23800","-100","-0.42","24000","24000","23750","16939","404205400","282543746800","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2275","-15","-0.66","2310","2330","2275","795943","1832467480","315979855100","138892244"
"023460","CNH","KOSDAQ","중견기업부","1832","24","1.33","1795","1840","1760","3402","6084511","68150400000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1325","64","5.08","1261","1443","1261","481622","646167335","62496216700","47166956"
"000480","CR홀딩스","KOSPI",,"6380","10","0.16","6330","6450","6300","40287","257579830","299161326200","46890490"
"065770","CS","KOSDAQ","벤처기업부","1236","19","1.56","1217","1245","1208","37523","45916909","23992156680","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1046","38","3.77","991","1088","983","99110","102985612","64064551326","61247181"
"000590","CS홀딩스","KOSPI",,"61500","0","0.00","61200","61500","60800","1093","66817100","71000643000","1154482"
"012030","DB","KOSPI",,"1756","16","0.92","1750","1763","1739","291587","509570595","353261426348","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","3150","0","0.00","0","0","0","0","0","18396000000","5840000"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2105","10","0.48","2095","2125","2085","13517","28276545","11188075000","5315000"
"016610","DB금융투자","KOSPI",,"3850","5","0.13","3850","3875","3845","29814","115014545","163418597650","42446389"
"005830","DB손해보험","KOSPI",,"84200","-3800","-4.32","88100","88100","84000","225997","19146890300","5961360000000","70800000"
"000990","DB하이텍","KOSPI",,"60800","-400","-0.65","61200","61900","60400","243322","14837481500","2699434150400","44398588"
"139130","DGB금융지주","KOSPI",,"8360","-10","-0.12","8390","8410","8340","539667","4523901910","1414059163880","169145833"
"060900","DGP","KOSDAQ","중견기업부","1668","15","0.91","1657","1676","1632","160047","265435032","42130725972","25258229"
"025440","DH오토웨어","KOSDAQ","중견기업부","2225","30","1.37","2195","2230","2195","8954","19841585","68488223400","30781224"
"001530","DI동일","KOSPI",,"27400","-1900","-6.48","29150","29250","27400","304554","8532829900","677838818200","24738643"
"000210","DL","KOSPI",,"49800","1650","3.43","48150","50200","48100","97211","4821727800","1043603023200","20955884"
"001880","DL건설","KOSPI",,"12780","-100","-0.78","12880","12880","12780","15851","203321780","281840969520","22053284"
"000215","DL우","KOSPI",,"24550","0","0.00","24550","25000","24300","871","21592050","41394123250","1686115"
"375500","DL이앤씨","KOSPI",,"37650","-200","-0.53","37600","38300","37550","141002","5341387850","1456814905950","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"24250","-100","-0.41","24000","24750","24000","1726","42037150","51214811750","2111951"
"37550K","DL이앤씨우","KOSPI",,"19530","0","0.00","19530","19590","19320","4032","78627790","41284174050","2113885"
"068790","DMS","KOSDAQ","우량기업부","6890","-20","-0.29","6940","6980","6820","109168","751839030","169308390290","24573061"
"007340","DN오토모티브","KOSPI",,"69800","2000","2.95","68000","69800","67600","23541","1615224700","697581549000","9994005"
"004840","DRB동일","KOSPI",,"5800","170","3.02","5650","5810","5600","24212","138315000","115594000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","3005","-115","-3.69","3115","3390","3005","563582","1790157865","83573266015","27811403"
"065150","DSEN","KOSDAQ","투자주의환기종목(소속부없음)","283","1","0.35","276","288","276","80434","22667656","35454920615","125282405"
"155660","DSR","KOSPI",,"4430","-30","-0.67","4460","4525","4420","37567","167058235","70880000000","16000000"
"069730","DSR제강","KOSPI",,"4245","-15","-0.35","4260","4300","4200","46446","196966145","61128000000","14400000"
"180400","DXVX","KOSDAQ","중견기업부","5680","150","2.71","5510","5680","5500","110200","613376040","171646373760","30219432"
"017940","E1","KOSPI",,"61000","300","0.49","60800","61800","60300","20949","1277899900","418460000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","415","6","1.47","413","420","403","1209451","498798135","48553614315","116996661"
"037370","EG","KOSDAQ","중견기업부","11800","390","3.42","11540","12200","11440","127113","1506220490","101774669600","8624972"
"278990","EMB","KONEX","일반기업부","12000","-150","-1.23","0","0","0","0","0","56591448000","4715954"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3725","50","1.36","3695","3740","3675","343469","1275272875","793756525000","213089000"
